"Step","optimizer_name: nadam - train_loss","optimizer_name: nadam - train_loss__MIN","optimizer_name: nadam - train_loss__MAX","optimizer_name: adamw - train_loss","optimizer_name: adamw - train_loss__MIN","optimizer_name: adamw - train_loss__MAX","optimizer_name: adam - train_loss","optimizer_name: adam - train_loss__MIN","optimizer_name: adam - train_loss__MAX","optimizer_name: sgdm - train_loss","optimizer_name: sgdm - train_loss__MIN","optimizer_name: sgdm - train_loss__MAX","optimizer_name: sgd - train_loss","optimizer_name: sgd - train_loss__MIN","optimizer_name: sgd - train_loss__MAX"
"1739","0.07366792671382427","0.06904685497283936","0.07863328605890274","0.07418515905737877","0.07011498510837555","0.0803140178322792","0.0756946224719286","0.06945668905973434","0.08073428273200989","0.18511134013533592","0.1195850670337677","0.2445690631866455","0.17179324105381966","0.1576572060585022","0.1896369308233261"
"1740","0.07766780257225037","0.06765258312225342","0.08527699112892151","0.08131589740514755","0.07266291230916977","0.08701203763484955","0.08144981786608696","0.07203863561153412","0.08690953999757767","0.19380895793437958","0.11577652394771576","0.2649652659893036","0.18532973527908325","0.1716858595609665","0.19770178198814392"
"1741","0.07596874050796032","0.06731486320495605","0.08675015717744827","0.07807818241417408","0.06920430809259415","0.09124766290187836","0.07797298021614552","0.06991328299045563","0.08972557634115219","0.19607441499829292","0.11712618172168732","0.28319984674453735","0.1806308887898922","0.16311794519424438","0.1944410502910614"
"1742","0.07728728652000427","0.06605947762727737","0.08851168304681778","0.07980282790958881","0.06838289648294449","0.09134520590305328","0.07954856939613819","0.06913729012012482","0.08969531208276749","0.1901011187583208","0.11195189505815506","0.2579265236854553","0.1776888109743595","0.16109922528266907","0.1971549689769745"
"1743","0.07618094235658646","0.07095291465520859","0.08196591585874557","0.07821547240018845","0.07062822580337524","0.0871637836098671","0.0777996052056551","0.07271723449230194","0.08494418859481812","0.18523874878883362","0.12646375596523285","0.24661536514759064","0.18036921694874763","0.17111457884311676","0.19272173941135406"
"1744","0.07697161473333836","0.06854666024446487","0.08619630336761475","0.07908738777041435","0.07006675004959106","0.0897931307554245","0.07855074666440487","0.07053649425506592","0.08906598389148712","0.19200949743390083","0.10895898938179016","0.288762629032135","0.17122191190719604","0.15969625115394592","0.18784689903259277"
"1745","0.07958606258034706","0.073735810816288","0.08404015004634857","0.08065100200474262","0.07563910633325577","0.08528485149145126","0.08175320364534855","0.07595802843570709","0.08633813261985779","0.19041727483272552","0.11611539125442505","0.27289876341819763","0.16963356360793114","0.16558973491191864","0.17496320605278015"
"1746","0.08656898327171803","0.07814706116914749","0.09527966380119324","0.08762401901185513","0.07873059809207916","0.09609808027744293","0.08849770203232765","0.07993759214878082","0.09891479462385178","0.2014816552400589","0.13437321782112122","0.28588950634002686","0.1896005980670452","0.17339743673801422","0.20255491137504578"
"1747","0.07106401305645704","0.0610773004591465","0.08136492222547531","0.07183649856597185","0.061554256826639175","0.08031794428825378","0.07201062142848969","0.06354454159736633","0.0804125964641571","0.17794725485146046","0.10839005559682846","0.2559400498867035","0.1639559492468834","0.1504863202571869","0.17579621076583862"
"1748","0.07496888190507889","0.06334703415632248","0.08613317459821701","0.0771297961473465","0.06609942018985748","0.08777914196252823","0.07779109291732311","0.06681432574987411","0.08899770677089691","0.19168836623430252","0.1079317033290863","0.27556025981903076","0.17266126349568367","0.1566888391971588","0.18711446225643158"
